id,id_cargadescarga,id_equipo,id_palas,id_palanext,tiem_llegada,tiem_esperando,tiem_cuadra,tiem_cuadra,tiem_cuadrado,tiem_carga,tiem_acarreo,tiem_cola,tiem_retro,tiem_listo,tiem_descarga,tiem_viajando
1403343,1403343,34,1557468,74,2023-01-01 14:39:54.185000+00:00,2023-01-01 14:39:54.185000+00:00,2023-01-01 14:40:04.186000+00:00,2023-01-01 14:40:04.186000+00:00,2023-01-01 14:40:22.194000+00:00,2023-01-01 14:40:52.200000+00:00,2023-01-01 14:42:22.212000+00:00,2023-01-01 14:57:54.316000+00:00,2023-01-01 14:58:54.328000+00:00,2023-01-01 14:59:44.331000+00:00,2023-01-01 14:59:58.333000+00:00,2023-01-01 15:00:48.337000+00:00
1403368,1403368,34,1557495,69,2023-01-01 15:06:14.396000+00:00,2023-01-01 15:06:14.396000+00:00,2023-01-01 15:06:18.397000+00:00,2023-01-01 15:06:18.397000+00:00,2023-01-01 15:06:38.403000+00:00,2023-01-01 15:06:56.410000+00:00,2023-01-01 15:11:02.441000+00:00,2023-01-01 15:21:58.529000+00:00,2023-01-01 15:22:52.531000+00:00,2023-01-01 15:23:28.535000+00:00,2023-01-01 15:24:42.541000+00:00,2023-01-01 15:25:28.544000+00:00
1403589,1403589,34,1557746,71,2023-01-01 20:01:08.132000+00:00,2023-01-01 20:05:53.656000+00:00,2023-01-01 20:10:28.208000+00:00,2023-01-01 20:10:28.208000+00:00,2023-01-01 20:10:42.211000+00:00,2023-01-01 20:10:52.212000+00:00,2023-01-01 20:13:24.243000+00:00,2023-01-01 20:24:40.366000+00:00,2023-01-01 20:24:50.368000+00:00,2023-01-01 20:24:54.367000+00:00,2023-01-01 20:25:54.373000+00:00,2023-01-01 20:26:46.378000+00:00
1403621,1403621,34,1557775,70,2023-01-01 20:38:20.608000+00:00,2023-01-01 20:38:20.608000+00:00,2023-01-01 20:38:32.612000+00:00,2023-01-01 20:38:32.612000+00:00,2023-01-01 20:38:44.614000+00:00,2023-01-01 20:39:18.622000+00:00,2023-01-01 20:41:22.647000+00:00,2023-01-01 20:55:38.237000+00:00,2023-01-01 20:55:42.236000+00:00,2023-01-01 20:55:58.238000+00:00,2023-01-01 20:56:12.240000+00:00,2023-01-01 20:57:38.255000+00:00
1403643,1403643,34,1557800,70,2023-01-01 21:03:54.324000+00:00,2023-01-01 21:04:38.329000+00:00,2023-01-01 21:04:38.329000+00:00,2023-01-01 21:04:38.329000+00:00,2023-01-01 21:04:48.330000+00:00,2023-01-01 21:05:18.334000+00:00,2023-01-01 21:08:15.554000+00:00,2023-01-01 21:13:34.426000+00:00,2023-01-01 21:13:42.430000+00:00,2023-01-01 21:13:54.431000+00:00,2023-01-01 21:14:10.433000+00:00,2023-01-01 21:15:08.437000+00:00
1403656,1403656,34,1557820,70,2023-01-01 21:18:43.704820+00:00,2023-01-01 21:26:01.751000+00:00,2023-01-01 21:27:00.539000+00:00,2023-01-01 21:27:00.539000+00:00,2023-01-01 21:27:18.541000+00:00,2023-01-01 21:27:28.547000+00:00,2023-01-01 21:30:06.570000+00:00,2023-01-01 21:35:30.618000+00:00,2023-01-01 21:35:34.618000+00:00,2023-01-01 21:35:46.619000+00:00,2023-01-01 21:36:02.622000+00:00,2023-01-01 21:36:40.626000+00:00
1403676,1403676,34,1557846,69,2023-01-01 21:43:38.014048+00:00,2023-01-01 21:45:17.905000+00:00,2023-01-01 21:48:53.675000+00:00,2023-01-01 21:48:53.675000+00:00,2023-01-01 21:48:53.675000+00:00,2023-01-01 21:48:53.675000+00:00,2023-01-01 21:50:44.194000+00:00,2023-01-01 22:02:18.642414+00:00,2023-01-01 22:02:20.143416+00:00,2023-01-01 22:02:20.722419+00:00,2023-01-01 22:02:21.331805+00:00,2023-01-01 22:02:28.213188+00:00
1403830,1403830,34,1558014,69,2023-01-02 00:52:56.847000+00:00,2023-01-02 00:53:00.847000+00:00,2023-01-02 00:53:00.847000+00:00,2023-01-02 00:53:00.847000+00:00,2023-01-02 00:53:28.854000+00:00,2023-01-02 00:55:32.867000+00:00,2023-01-02 00:57:44.881000+00:00,2023-01-02 01:04:24.949000+00:00,2023-01-02 01:04:28.948000+00:00,2023-01-02 01:04:42.954000+00:00,2023-01-02 01:04:56.958000+00:00,2023-01-02 01:05:40.966000+00:00
1404319,1404319,34,1558551,117,2023-01-02 09:13:22.040000+00:00,2023-01-02 09:13:46.040000+00:00,2023-01-02 09:13:46.040000+00:00,2023-01-02 09:13:46.040000+00:00,2023-01-02 09:13:56.043000+00:00,2023-01-02 09:15:14.053000+00:00,2023-01-02 09:17:30.108000+00:00,2023-01-02 09:24:40.158000+00:00,2023-01-02 09:24:46.159000+00:00,2023-01-02 09:25:14.161000+00:00,2023-01-02 09:25:48.166000+00:00,2023-01-02 09:26:30.168000+00:00
1404341,1404341,34,1558580,117,2023-01-02 09:33:44.250000+00:00,2023-01-02 09:39:58.650000+00:00,2023-01-02 09:40:40.323000+00:00,2023-01-02 09:40:40.323000+00:00,2023-01-02 09:40:40.323000+00:00,2023-01-02 09:40:40.323000+00:00,2023-01-02 09:46:18.380000+00:00,2023-01-02 09:52:38.433000+00:00,2023-01-02 09:52:48.440000+00:00,2023-01-02 09:53:38.438000+00:00,2023-01-02 09:54:00.447000+00:00,2023-01-02 09:54:42.455000+00:00
